"","shannon","simpson"
"X14740_S212_profile",3.28732402760855,0.932151384817751
"X14595_S136_profile",3.28889961662067,0.935778447874636
"X14428_S241_profile",3.14990804052718,0.928323830216155
"X14327_S240_profile",3.32344867843512,0.936943244475921
"X14322_S36_profile",2.7960227550317,0.90704507205564
"X14265_S239_profile",3.64288464682849,0.950661656339338
"X14020_S103_profile",3.57021680041683,0.94947972051277
"X13903_S238_profile",3.15821167185315,0.925484842631602
"X138_S37_profile",3.65824573456856,0.94943547508822
"X13864_S35_profile",2.9680020957373,0.914529124855653
"X13860_S34_profile",3.09781225321752,0.926275452582836
"X1384_S5_profile",3.36017467538244,0.939312505253748
"X13795_S237_profile",3.53009654046342,0.949271573052853
"X13792_S236_profile",2.73348471789681,0.908799829235618
"X13774_S211_profile",3.35202924544834,0.939316348418981
"X13743_S135_profile",2.74443361590216,0.901478453464194
"X13738_S235_profile",3.20460908647806,0.927988692465972
"X13706_S33_profile",3.58355086996221,0.948023815553737
"X13689_S102_profile",3.38264987084758,0.943052878340242
"X13636_S176_profile",3.07707161857978,0.932044650558247
"X13587_S101_profile",3.69798208224899,0.952297319264922
"X13580_S32_profile",3.18476099612938,0.935751827159307
"X1357_S152_profile",3.47961961438667,0.941727211911958
"X1331_S48_profile",3.06654302770685,0.926211388614256
"X1329_S4_profile",3.14715634177132,0.930152631725691
"X13295_S31_profile",3.30330531649984,0.937498438731362
"X13274_S70_profile",3.17253560043401,0.930056262148968
"X1325_S115_profile",3.48170540981201,0.945207813215045
"X13168_S234_profile",2.90995358745314,0.914246071049743
"X13096_S69_profile",3.33925899558808,0.938941437104045
"X13029_S30_profile",2.85035459868455,0.921822330757194
"X12723_S29_profile",3.46480198833669,0.944028602797795
"X12600_S210_profile",3.10787581101282,0.929426991193264
"X1259_S47_profile",2.73118154271346,0.902213302125476
"X12595_S233_profile",3.2702301482423,0.939616288762556
"X12540_S175_profile",3.63367796775383,0.94583594350834
"X1252_S46_profile",3.17249736233418,0.933054596988989
"X12526_S174_profile",3.17224454401474,0.926689618339376
"X12473_S232_profile",3.56740259269914,0.94642816864078
"X12463_S231_profile",3.32750374451162,0.938912702543557
"X12382_S230_profile",3.08723314456982,0.922944186806498
"X12369_S229_profile",3.37346290425637,0.93850610583473
"X12261_S228_profile",3.29586191420298,0.939972706397907
"X12207_S68_profile",3.06325064172344,0.927325839366895
"X12186_S100_profile",3.26091996315078,0.93775072199699
"X12142_S134_profile",2.95937345931848,0.915765908544086
"X1213_S151_profile",3.25102948018935,0.936668478761043
"X12127_S133_profile",3.34537039071338,0.940242436555699
"X1208_S114_profile",3.01148630499589,0.916006581799861
"X12037_S209_profile",3.51830584047645,0.94632154686558
"X12033_S208_profile",3.33091726761425,0.942122919830317
"X1200_S150_profile",3.6775345271799,0.951849180035218
"X11809_S173_profile",3.1278539506071,0.92987782142958
"X11797_S132_profile",3.36254268468641,0.93914396016631
"X1177_S149_profile",3.41578875018262,0.939916094244442
"X11779_S131_profile",3.35915536057149,0.939136138504481
"X11734_S67_profile",3.43299574527997,0.945198118915139
"X11595_S130_profile",3.28347741103909,0.93401377822668
"X11577_S227_profile",3.28494247973079,0.936633897316751
"X11340_S129_profile",3.46536385248539,0.944618018966291
"X11299_S28_profile",3.61874200629184,0.948608635097955
"X11265_S128_profile",3.73295151876894,0.952910772231578
"X11263_S27_profile",2.76909858098973,0.90432674980489
"X1125_S113_profile",3.45327528640469,0.943535134998773
"X11179_S172_profile",3.27416309175347,0.935797084510077
"X11005_S226_profile",3.52973550870635,0.945357749254666
"X10974_S127_profile",3.75742615826696,0.956822635697897
"X10954_S225_profile",3.31537756392434,0.939004584767323
"X10947_S126_profile",3.30527828446317,0.938200546875268
"X10892_S207_profile",3.28527297339921,0.932048658114186
"X10787_S26_profile",2.77681967224852,0.905385094235405
"X10691_S171_profile",3.08835864870003,0.926717537197246
"X10690_S224_profile",3.28555250056662,0.938782139173248
"X10607_S25_profile",3.4465434948754,0.941609174911385
"X10512_S206_profile",3.20123240816906,0.924994835429745
"X1043_S45_profile",3.03768541127017,0.918514785623608
"X10257_S66_profile",3.38046887078771,0.940827415462311
"X10170_S99_profile",3.36879457374437,0.939227791194896
"X10052_S205_profile",3.08678364633138,0.925752185905184
"X10016_S24_profile",3.27155047712213,0.936480179238039
